Stdu Qu1 Qu2 Qu3 Qu4 Qu5
1234 034 054 053 100 098
2134 043 024 045 074 087
4532 054 077 037 087 074
5214 065 057 054 058 087
8564 076 078 038 087 064
2489 064 073 084 063 028
4236 076 087 058 084 094
4357 047 083 095 057 084
3452 076 054 085 087 058
7345 076 032 086 023 084
1232 034 054 053 100 098
2131 043 024 045 074 087
4532 054 077 037 087 074
5213 065 057 054 058 087
8565 076 078 038 087 064
2486 064 073 084 063 028
4233 076 087 058 084 094
4354 047 083 095 057 084
3452 076 054 085 087 058
7343 076 032 086 023 084
1233 034 054 053 100 098
2133 043 024 045 074 087
4533 054 077 037 087 074
5211 065 057 054 058 087
8563 076 078 038 087 064
2484 064 073 084 063 028
4235 076 087 058 084 094
4357 047 083 095 057 084
3458 076 054 085 087 058
7348 076 032 086 023 084
1239 034 054 053 100 098
2131 043 024 045 074 087
4531 054 077 037 087 074
5213 065 057 054 058 087
8563 076 078 038 087 064
2484 064 073 084 063 028
4235 076 087 058 084 094
4356 047 083 095 057 084
3457 076 054 085 087 058
6458 053 032 075 034 065
5346 056 084 076 032 043
